order_id,city,order_hour,distance_km,prep_time_min,delivery_time_min,rating
ORD-10288,Bengaluru,21,6.5,12,39,4
ORD-10289,Kolkata,18,3.5,15,32,5
ORD-10290,Bengaluru,17,6.7,15,47,3
ORD-10291,Kolkata,20,5.0,6,44,4
ORD-10292,Pune,21,1.3,10,21,5
ORD-10293,Kolkata,0,4.6,10,36,4
ORD-10294,Hyderabad,12,5.4,10,34,5
ORD-10295,Chennai,10,4.6,15,34,5
ORD-10296,Pune,14,4.1,13,38,5
ORD-10297,Chennai,17,3.3,9,28,5
ORD-10298,Hyderabad,20,2.9,12,28,5
ORD-10299,Hyderabad,14,1.2,16,29,5
ORD-10300,Hyderabad,20,4.0,7,26,5
ORD-10301,Pune,22,3.4,12,26,5
ORD-10302,Pune,12,6.9,13,37,5
ORD-10303,Bengaluru,20,0.9,15,29,5
ORD-10304,Chennai,17,3.8,16,38,4
ORD-10305,Pune,8,3.8,12,31,4
ORD-10306,Kolkata,10,6.4,12,,
ORD-10307,Bengaluru,13,1.3,13,27,5
ORD-10308,Bengaluru,13,3.4,14,38,4
ORD-10309,Hyderabad,21,1.0,14,24,5
ORD-10310,Pune,12,4.5,10,31,5
ORD-10311,Bengaluru,21,3.9,10,29,5
ORD-10312,Hyderabad,16,1.4,13,25,5
ORD-10313,Pune,14,1.4,11,18,5
ORD-10314,Bengaluru,14,3.9,19,38,5
ORD-10315,Bengaluru,5,4.0,15,36,5
ORD-10316,Kolkata,21,3.8,16,44,3
ORD-10317,Bengaluru,19,6.5,12,48,3
ORD-10318,Hyderabad,15,3.6,18,42,
ORD-10319,Pune,22,5.0,19,41,
ORD-10320,Kolkata,19,1.1,11,31,4
ORD-10321,Kolkata,21,4.7,12,45,3
ORD-10322,Hyderabad,1,5.2,19,39,5
ORD-10323,Pune,22,5.8,10,36,5
ORD-10324,Bengaluru,13,4.2,16,37,5
ORD-10325,Chennai,19,1.4,11,26,5
ORD-10326,Hyderabad,6,4.1,15,39,4
ORD-10327,Hyderabad,20,4.7,7,36,5
ORD-10328,Pune,13,5.0,8,33,5
ORD-10329,Hyderabad,20,5.9,6,32,3
ORD-10330,Chennai,6,6.8,20,47,4
ORD-10331,Bengaluru,20,3.1,19,33,5
ORD-10332,Hyderabad,14,2.4,9,26,
ORD-10333,Pune,12,3.2,14,,4
ORD-10334,Pune,13,3.4,14,33,5
ORD-10335,Hyderabad,14,4.5,7,28,5
ORD-10336,Chennai,18,6.6,9,33,5
ORD-10337,Pune,14,4.6,15,29,4
ORD-10338,Pune,14,3.3,12,29,
ORD-10339,Chennai,18,3.6,19,36,5
ORD-10340,Kolkata,18,3.8,14,36,4
ORD-10341,Hyderabad,13,3.1,10,26,5
ORD-10342,Bengaluru,23,2.1,13,26,5
ORD-10343,Kolkata,20,5.7,11,55,4
ORD-10344,Hyderabad,10,6.7,9,35,5
ORD-10345,Kolkata,21,1.4,6,31,5
ORD-10346,Kolkata,22,1.5,16,,4
ORD-10347,Bengaluru,13,5.8,9,35,4
ORD-10348,Chennai,9,3.2,16,26,5
ORD-10349,Kolkata,13,6.2,13,42,4
ORD-10350,Chennai,13,3.3,21,40,5
ORD-10351,Chennai,19,4.6,12,34,5
ORD-10352,Chennai,13,4.3,16,43,5
ORD-10353,Hyderabad,13,3.9,14,36,4
ORD-10354,Pune,15,5.1,17,40,3
ORD-10355,Pune,15,2.7,12,24,5
ORD-10356,Hyderabad,23,4.7,9,21,5
ORD-10357,Pune,18,6.0,16,39,5
ORD-10358,Chennai,9,2.8,16,30,5
ORD-10359,Chennai,8,6.8,6,31,5
ORD-10360,Kolkata,10,1.1,15,31,5
ORD-10361,Pune,14,3.8,18,39,3
ORD-10362,Hyderabad,9,4.6,19,37,4
ORD-10363,Chennai,12,3.8,16,35,5
ORD-10364,Pune,9,5.0,17,44,3
ORD-10365,Chennai,12,2.2,15,28,5
ORD-10366,Hyderabad,13,1.4,16,30,5
ORD-10367,Chennai,23,6.3,19,45,3
ORD-10368,Hyderabad,19,4.9,13,40,4
ORD-10369,Chennai,10,1.6,16,23,5
ORD-10370,Bengaluru,22,1.3,15,26,5
ORD-10371,Hyderabad,18,2.8,16,27,5
ORD-10372,Hyderabad,20,2.4,14,31,5
ORD-10373,Hyderabad,17,5.4,13,32,5
ORD-10374,Chennai,13,5.0,9,38,4
ORD-10375,Bengaluru,13,5.1,13,34,5
ORD-10376,Pune,14,6.6,14,44,4
ORD-10377,Kolkata,22,6.2,14,54,3
ORD-10378,Chennai,0,5.5,22,53,3
ORD-10379,Hyderabad,10,2.8,12,27,5
ORD-10380,Pune,13,4.1,12,32,5
ORD-10381,Kolkata,15,5.1,16,38,4
ORD-10382,Kolkata,19,4.3,15,45,4
ORD-10383,Pune,15,5.1,13,37,4
ORD-10384,Chennai,9,5.6,9,38,4
ORD-10385,Pune,11,3.9,12,38,4
ORD-10386,Pune,18,5.4,11,38,5
ORD-10387,Bengaluru,21,2.9,13,30,5
ORD-10388,Kolkata,19,3.1,10,34,5
ORD-10389,Kolkata,20,2.4,19,48,4
ORD-10390,Kolkata,12,4.8,16,46,4
ORD-10391,Kolkata,20,3.2,14,45,4
ORD-10392,Pune,18,4.6,15,34,4
ORD-10393,Pune,8,3.8,12,25,4
ORD-10394,Kolkata,16,2.2,8,26,5
ORD-10395,Chennai,13,2.2,12,31,5
ORD-10396,Pune,15,0.8,12,18,5
ORD-10397,Hyderabad,20,6.2,13,39,5
ORD-10398,Hyderabad,15,1.6,16,22,5
ORD-10399,Hyderabad,22,3.5,15,37,5
ORD-10400,Hyderabad,16,1.2,19,27,5
ORD-10401,Bengaluru,19,2.6,12,24,5
ORD-10402,Chennai,21,4.5,17,42,4
ORD-10403,Bengaluru,19,2.4,13,27,5
ORD-10404,Kolkata,14,1.2,16,30,5
ORD-10405,Hyderabad,11,6.1,26,53,3
ORD-10406,Chennai,20,4.6,17,41,3
ORD-10407,Pune,13,1.2,14,29,5
ORD-10408,Chennai,14,3.5,12,31,
ORD-10409,Kolkata,17,4.5,17,34,5
ORD-10410,Bengaluru,23,5.4,15,36,5
ORD-10411,Bengaluru,20,3.5,14,33,5
ORD-10412,Bengaluru,17,6.0,17,48,4
ORD-10413,Chennai,11,5.2,12,33,5
ORD-10414,Kolkata,19,4.6,18,59,2
ORD-10415,Hyderabad,20,2.8,19,31,
ORD-10416,Chennai,13,4.6,11,34,5
ORD-10417,Kolkata,14,2.5,15,33,5
ORD-10418,Chennai,0,2.0,15,23,5
ORD-10419,Pune,23,3.2,14,34,5
ORD-10420,Kolkata,18,3.6,15,39,5
ORD-10421,Kolkata,7,6.4,19,47,
ORD-10422,Kolkata,21,6.8,18,60,3
ORD-10423,Hyderabad,19,3.5,14,36,5
ORD-10424,Hyderabad,22,3.2,10,,5
ORD-10425,Bengaluru,21,2.2,20,35,5
ORD-10426,Kolkata,12,1.1,20,38,5
ORD-10427,Bengaluru,19,5.6,18,45,5
ORD-10428,Kolkata,12,3.9,23,44,4
ORD-10429,Hyderabad,17,3.5,10,24,5
ORD-10430,Pune,22,6.2,17,37,5
ORD-10431,Bengaluru,21,6.1,13,38,4
ORD-10432,Pune,8,4.3,13,31,5
ORD-10433,Chennai,16,5.0,15,35,5
ORD-10434,Bengaluru,11,3.9,16,29,4
ORD-10435,Hyderabad,13,6.1,12,398,4
ORD-10436,Chennai,9,5.6,19,44,4
ORD-10437,Bengaluru,11,0.8,16,32,4
ORD-10438,Pune,11,6.0,15,43,
ORD-10439,Hyderabad,20,6.0,12,41,5
ORD-10440,Chennai,12,2.7,12,25,5
ORD-10441,Bengaluru,22,5.2,14,33,5
ORD-10442,Bengaluru,18,1.8,9,28,5
ORD-10443,Chennai,13,6.1,11,39,4
ORD-10444,Chennai,8,5.5,15,35,4
ORD-10445,Bengaluru,11,3.0,9,23,5
ORD-10446,Hyderabad,5,6.8,15,44,
ORD-10447,Chennai,20,6.4,8,36,4
ORD-10448,Chennai,15,3.3,14,35,5
ORD-10449,Hyderabad,20,7.0,20,54,3
ORD-10450,Bengaluru,12,3.4,11,30,5
ORD-10451,Bengaluru,13,1.8,20,32,5
ORD-10452,Chennai,15,2.7,11,30,5
ORD-10453,Pune,10,3.2,15,33,5
ORD-10454,Chennai,7,4.6,19,44,3
ORD-10455,Bengaluru,20,4.6,15,32,5
ORD-10456,Bengaluru,10,1.1,13,23,5
ORD-10457,Pune,20,5.2,13,39,
ORD-10458,Hyderabad,20,5.0,9,33,5
ORD-10459,Kolkata,0,5.1,18,44,4
ORD-10460,Pune,14,3.5,18,,5
ORD-10461,Bengaluru,14,5.2,14,38,4
ORD-10462,Kolkata,11,5.3,11,37,4
ORD-10463,Kolkata,11,4.3,19,39,4
ORD-10464,Chennai,22,2.5,11,24,5
ORD-10465,Kolkata,14,6.3,16,43,5
ORD-10466,Hyderabad,21,5.0,12,36,
ORD-10467,Hyderabad,8,2.9,14,29,5
ORD-10468,Kolkata,12,3.0,18,38,4
ORD-10469,Bengaluru,13,2.5,12,26,5
ORD-10470,Pune,9,6.4,8,33,5
ORD-10471,Pune,19,6.6,13,43,4
ORD-10472,Pune,12,3.4,16,38,4
ORD-10473,Hyderabad,9,2.5,11,35,4
ORD-10474,Chennai,13,2.5,11,23,5
ORD-10475,Pune,18,4.9,19,334,4
ORD-10476,Pune,15,6.1,20,39,4
ORD-10477,Hyderabad,12,5.9,23,49,3
ORD-10478,Chennai,23,2.5,15,23,5
ORD-10479,Hyderabad,18,1.3,14,23,5
ORD-10480,Bengaluru,13,5.5,16,41,
ORD-10481,Pune,12,3.4,9,27,5
ORD-10482,Kolkata,14,6.6,14,44,4
ORD-10483,Chennai,8,1.3,6,19,5
ORD-10484,Pune,23,1.4,14,22,5
ORD-10485,Pune,19,1.2,14,27,5
ORD-10486,Bengaluru,22,3.5,15,40,4
ORD-10487,Pune,19,4.4,13,,4
ORD-10488,Hyderabad,22,2.6,17,29,5
ORD-10489,Bengaluru,23,3.9,13,31,5
ORD-10490,Bengaluru,10,2.4,18,32,5
ORD-10491,Hyderabad,13,5.7,19,47,4
ORD-10492,Bengaluru,20,4.7,10,33,5
ORD-10493,Pune,7,4.9,12,36,5
ORD-10494,Hyderabad,22,5.6,19,40,4
ORD-10495,Kolkata,13,2.2,14,30,5
ORD-10496,Bengaluru,20,4.2,14,34,5
ORD-10497,Kolkata,18,1.2,6,18,5
ORD-10498,Pune,20,5.0,13,36,
ORD-10499,Bengaluru,17,1.3,11,25,5
ORD-10500,Kolkata,8,6.5,12,44,5
ORD-10501,Pune,18,4.6,16,32,5
ORD-10502,Kolkata,13,5.0,16,41,3
ORD-10503,Bengaluru,11,4.6,14,38,4
ORD-10504,Bengaluru,6,5.3,10,33,5
ORD-10505,Pune,14,2.2,7,19,5
ORD-10506,Chennai,15,4.4,12,30,5
ORD-10507,Bengaluru,12,1.8,18,38,5
ORD-10508,Pune,17,4.9,16,36,4
ORD-10509,Chennai,12,2.5,11,24,5
ORD-10510,Kolkata,13,2.3,16,34,4
ORD-10511,Kolkata,22,5.9,10,49,4
ORD-10512,Hyderabad,16,6.0,15,35,4
ORD-10513,Bengaluru,23,4.5,17,44,3
ORD-10514,Kolkata,12,2.3,17,38,5
ORD-10515,Bengaluru,20,5.3,7,34,5
ORD-10516,Bengaluru,20,2.2,15,32,5
ORD-10517,Kolkata,21,3.2,9,38,4
ORD-10518,Kolkata,19,5.9,16,51,
ORD-10519,Pune,12,3.5,12,34,5
ORD-10520,Kolkata,16,5.0,7,36,
ORD-10521,Hyderabad,12,1.4,12,21,5
ORD-10522,Kolkata,15,2.4,17,38,3
ORD-10523,Kolkata,14,3.3,13,29,5
ORD-10524,Chennai,16,0.8,16,18,5
ORD-10525,Bengaluru,12,5.2,9,34,5
ORD-10526,Chennai,18,1.6,10,21,5
ORD-10527,Kolkata,18,3.3,6,26,5
ORD-10528,Kolkata,10,6.6,9,37,4
ORD-10529,Bengaluru,20,6.9,10,43,4
ORD-10530,Pune,20,3.8,19,34,5
ORD-10531,Hyderabad,12,1.7,15,355,
ORD-10532,Bengaluru,6,6.1,20,43,4
ORD-10533,Hyderabad,20,1.3,21,32,
ORD-10534,Pune,12,2.3,17,36,5
ORD-10535,Kolkata,17,3.7,20,39,5
ORD-10536,Bengaluru,14,2.0,8,23,5
ORD-10537,Kolkata,22,3.8,12,39,4
ORD-10538,Bengaluru,2,6.0,6,33,5
ORD-10539,Kolkata,13,4.7,16,37,5
ORD-10540,Pune,20,1.8,13,31,
ORD-10541,Hyderabad,22,2.0,15,28,
ORD-10542,Bengaluru,18,6.9,9,34,5
ORD-10543,Kolkata,13,4.2,7,27,5
ORD-10544,Chennai,0,4.6,15,35,5
ORD-10545,Kolkata,10,2.0,15,27,5
ORD-10546,Kolkata,17,6.8,14,42,3
ORD-10547,Kolkata,17,2.0,14,27,4
ORD-10548,Kolkata,18,3.2,19,33,5
ORD-10549,Chennai,19,4.3,15,38,5
ORD-10550,Bengaluru,9,1.0,14,24,5
ORD-10551,Hyderabad,14,2.4,19,34,4
ORD-10552,Kolkata,12,6.9,18,,3
ORD-10553,Hyderabad,17,6.6,18,38,5
ORD-10554,Chennai,19,1.2,17,36,4
ORD-10555,Kolkata,19,1.3,11,,3
ORD-10556,Bengaluru,19,5.7,13,36,4
ORD-10557,Hyderabad,18,5.7,8,29,5
ORD-10558,Kolkata,19,3.7,18,54,3
ORD-10559,Kolkata,1,5.4,16,41,4
ORD-10560,Kolkata,19,5.9,14,58,3
ORD-10561,Bengaluru,14,5.0,9,33,5
ORD-10562,Kolkata,12,6.6,13,43,4
ORD-10563,Bengaluru,18,5.2,14,34,5
ORD-10564,Kolkata,20,2.6,7,38,4
