order_id,item,category,quantity,price
50030,Idli,Breakfast,1,50
50031,Sandwich,Snacks,1,70
50031,Masala chai,Chai & coffee,1,30
50031,Upma,Breakfast,2,60
50032,Poha,Breakfast,1,60
50032,Orange juice,Juice,1,70
50033,Filter coffee,Chai & coffee,2,40
50033,Masala chai,Chai & coffee,1,30
50034,Pesarattu,Breakfast,2,80
50034,Upma,Breakfast,1,60
50035,Idli,Breakfast,3,50
50035,Sandwich,Snacks,1,70
50036,Vada pav,Snacks,3,30
50036,Pesarattu,Breakfast,1,80
50037,Misal pav,Breakfast,1,90
50038,Jalebi,Sweets,1,40
50038,Misal pav,Breakfast,1,90
50039,Jalebi,Sweets,1,40
50040,Filter coffee,Chai & coffee,1,40
50041,Jalebi,Sweets,1,40
50041,Sandwich,Snacks,1,70
50042,Idli,Breakfast,1,50
50042,Filter coffee,Chai & coffee,1,40
50043,Idli,Breakfast,2,50
50044,Idli,Breakfast,1,50
50045,Poha,Breakfast,1,60
50046,Cold coffee,Chai & coffee,2,90
50046,Poha,Breakfast,2,60
50047,Poha,Breakfast,1,60
50048,Vada pav,Snacks,2,30
50048,Sandwich,Snacks,3,70
50048,Idli,Breakfast,1,50
50049,Poha,Breakfast,1,60
50050,Masala dosa,Breakfast,2,90
50051,Pesarattu,Breakfast,3,80
50051,Cold coffee,Chai & coffee,2,90
50052,Vada pav,Snacks,3,30
50052,Filter coffee,Chai & coffee,1,40
50052,Pesarattu,Breakfast,2,80
50053,Cold coffee,Chai & coffee,2,90
50054,Sandwich,Snacks,2,70
50055,Vada pav,Snacks,3,30
50056,Misal pav,Breakfast,1,90
50057,Vada pav,Snacks,1,30
50058,Pesarattu,Breakfast,1,80
50058,Cold coffee,Chai & coffee,2,90
50058,Jalebi,Sweets,3,40
50059,Cold coffee,Chai & coffee,1,90
50059,Idli,Breakfast,2,50
50060,Upma,Breakfast,1,60
50061,Misal pav,Breakfast,1,90
50061,Masala chai,Chai & coffee,1,30
50061,Orange juice,Juice,1,70
50062,Masala dosa,Breakfast,1,90
50062,Masala chai,Chai & coffee,1,30
50062,Orange juice,Juice,1,70
50063,Misal pav,Breakfast,1,90
50063,Orange juice,Juice,1,70
50063,Idli,Breakfast,1,50
50063,Vada pav,Snacks,1,30
50064,Misal pav,Breakfast,1,90
50064,Jalebi,Sweets,1,40
50064,Pesarattu,Breakfast,1,80
50064,Poha,Breakfast,1,60
50064,Sandwich,Snacks,1,70
50065,Pesarattu,Breakfast,1,80
50065,Cold coffee,Chai & coffee,1,90
50065,Filter coffee,Chai & coffee,1,40
50066,Masala dosa,Breakfast,2,90
50066,Orange juice,Juice,1,70
50066,Upma,Breakfast,1,60
50066,Vada pav,Snacks,1,30
50066,Cold coffee,Chai & coffee,1,90
50067,Masala chai,Chai & coffee,1,30
50067,Idli,Breakfast,2,50
50067,Poha,Breakfast,1,60
50067,Misal pav,Breakfast,1,90
50068,Masala chai,Chai & coffee,1,30
50068,Misal pav,Breakfast,1,90
50068,Poha,Breakfast,2,60
50069,Misal pav,Breakfast,1,90
50069,Masala chai,Chai & coffee,1,30
50069,Idli,Breakfast,1,50
50069,Sandwich,Snacks,1,70
50070,Filter coffee,Chai & coffee,1,40
50070,Idli,Breakfast,1,50
50070,Masala dosa,Breakfast,1,90
50071,Orange juice,Juice,1,70
50071,Masala dosa,Breakfast,2,90
50072,Filter coffee,Chai & coffee,1,40
50073,Masala chai,Chai & coffee,2,30
50074,Pesarattu,Breakfast,1,80
50074,Masala dosa,Breakfast,1,90
50074,Jalebi,Sweets,1,40
50075,Masala dosa,Breakfast,1,90
50076,Idli,Breakfast,1,50
50077,Poha,Breakfast,2,60
50077,Vada pav,Snacks,1,30
50078,Masala dosa,Breakfast,2,90
50079,Poha,Breakfast,2,60
50080,Masala chai,Chai & coffee,3,30
50081,Upma,Breakfast,2,60
50081,Pesarattu,Breakfast,1,80
50081,Vada pav,Snacks,1,30
50082,Misal pav,Breakfast,1,90
50083,Sandwich,Snacks,1,70
50083,Pesarattu,Breakfast,2,80
50084,Pesarattu,Breakfast,1,80
50085,Upma,Breakfast,1,60
50086,Idli,Breakfast,1,50
50086,Masala chai,Chai & coffee,1,30
50087,Masala chai,Chai & coffee,1,30
50088,Upma,Breakfast,2,60
50088,Sandwich,Snacks,1,70
50089,Pesarattu,Breakfast,2,80
50089,Cold coffee,Chai & coffee,3,90
50090,Filter coffee,Chai & coffee,1,40
50090,Idli,Breakfast,1,50
50090,Vada pav,Snacks,2,30
50091,Filter coffee,Chai & coffee,1,40
50091,Pesarattu,Breakfast,1,80
50092,Filter coffee,Chai & coffee,1,40
50092,Masala dosa,Breakfast,3,90
50092,Idli,Breakfast,1,50
50093,Vada pav,Snacks,3,30
50094,Idli,Breakfast,2,50
50094,Orange juice,Juice,1,70
50095,Upma,Breakfast,1,60
50096,Idli,Breakfast,2,50
50097,Misal pav,Breakfast,3,90
50097,Masala chai,Chai & coffee,2,30
50097,Vada pav,Snacks,1,30
50098,Jalebi,Sweets,2,40
50099,Masala chai,Chai & coffee,2,30
50100,Poha,Breakfast,2,60
50100,Cold coffee,Chai & coffee,1,90
50101,Upma,Breakfast,2,60
50102,Vada pav,Snacks,1,30
50103,Masala chai,Chai & coffee,1,30
50103,Filter coffee,Chai & coffee,2,40
50104,Idli,Breakfast,3,50
50104,Upma,Breakfast,1,60
50105,Vada pav,Snacks,2,30
50105,Filter coffee,Chai & coffee,3,40
50105,Jalebi,Sweets,3,40
50106,Vada pav,Snacks,3,30
50107,Vada pav,Snacks,2,30
50107,Misal pav,Breakfast,2,90
50107,Poha,Breakfast,1,60
50108,Jalebi,Sweets,2,40
50109,Vada pav,Snacks,2,30
50110,Misal pav,Breakfast,1,90
50110,Pesarattu,Breakfast,1,80
50110,Cold coffee,Chai & coffee,1,90
50110,Filter coffee,Chai & coffee,1,40
50111,Masala chai,Chai & coffee,2,30
50111,Orange juice,Juice,1,70
50111,Masala dosa,Breakfast,1,90
50111,Poha,Breakfast,1,60
50112,Misal pav,Breakfast,1,90
50112,Orange juice,Juice,1,70
50112,Idli,Breakfast,1,50
50112,Masala chai,Chai & coffee,1,30
50113,Masala dosa,Breakfast,1,90
50113,Jalebi,Sweets,1,40
50113,Misal pav,Breakfast,1,90
50113,Poha,Breakfast,1,60
50114,Cold coffee,Chai & coffee,1,90
50114,Masala dosa,Breakfast,2,90
50114,Misal pav,Breakfast,1,90
50114,Vada pav,Snacks,1,30
50115,Vada pav,Snacks,1,30
50115,Masala dosa,Breakfast,1,90
50115,Pesarattu,Breakfast,1,80
50116,Filter coffee,Chai & coffee,2,40
50116,Masala dosa,Breakfast,1,90
50117,Sandwich,Snacks,1,70
50117,Orange juice,Juice,2,70
50117,Masala dosa,Breakfast,2,90
50118,Masala chai,Chai & coffee,3,30
50118,Filter coffee,Chai & coffee,2,40
50119,Masala dosa,Breakfast,2,90
50120,Orange juice,Juice,3,70
50120,Masala chai,Chai & coffee,3,30
50121,Sandwich,Snacks,1,70
50121,Pesarattu,Breakfast,1,80
50121,Idli,Breakfast,2,50
50122,Pesarattu,Breakfast,1,80
50122,Vada pav,Snacks,2,30
50122,Masala chai,Chai & coffee,2,30
50123,Pesarattu,Breakfast,1,80
50124,Upma,Breakfast,2,60
50125,Masala chai,Chai & coffee,1,30
50126,Pesarattu,Breakfast,2,80
50126,Upma,Breakfast,1,60
50126,Poha,Breakfast,1,60
50127,Cold coffee,Chai & coffee,1,90
50128,Filter coffee,Chai & coffee,1,40
50129,Filter coffee,Chai & coffee,2,40
50130,Upma,Breakfast,2,60
50130,Cold coffee,Chai & coffee,1,90
50131,Idli,Breakfast,1,50
50132,Vada pav,Snacks,1,30
50132,Cold coffee,Chai & coffee,2,90
50132,Orange juice,Juice,3,70
50133,Filter coffee,Chai & coffee,2,40
50134,Cold coffee,Chai & coffee,1,90
50134,Vada pav,Snacks,2,30
50134,Pesarattu,Breakfast,2,80
50135,Filter coffee,Chai & coffee,2,40
50135,Upma,Breakfast,2,60
50135,Vada pav,Snacks,2,30
50136,Filter coffee,Chai & coffee,1,40
50136,Masala chai,Chai & coffee,2,30
50137,Vada pav,Snacks,1,30
50138,Masala chai,Chai & coffee,2,30
50138,Jalebi,Sweets,2,40
50139,Filter coffee,Chai & coffee,1,40
50139,Orange juice,Juice,2,70
50140,Cold coffee,Chai & coffee,3,90
50140,Vada pav,Snacks,2,30
50141,Orange juice,Juice,1,70
50142,Idli,Breakfast,2,50
50143,Poha,Breakfast,1,60
50143,Sandwich,Snacks,1,70
50143,Masala chai,Chai & coffee,1,30
50144,Sandwich,Snacks,1,70
50144,Vada pav,Snacks,1,30
50144,Misal pav,Breakfast,1,90
50145,Poha,Breakfast,1,60
50145,Misal pav,Breakfast,2,90
50145,Masala chai,Chai & coffee,1,30
50146,Misal pav,Breakfast,1,90
50146,Masala chai,Chai & coffee,1,30
50146,Pesarattu,Breakfast,1,80
50146,Filter coffee,Chai & coffee,1,40
50147,Upma,Breakfast,2,60
50147,Poha,Breakfast,1,60
50147,Cold coffee,Chai & coffee,1,90
50147,Misal pav,Breakfast,1,90
50148,Masala dosa,Breakfast,1,90
50148,Filter coffee,Chai & coffee,1,40
50148,Cold coffee,Chai & coffee,2,90
50149,Masala dosa,Breakfast,1,90
50149,Misal pav,Breakfast,2,90
50150,Filter coffee,Chai & coffee,1,40
50150,Masala dosa,Breakfast,3,90
50151,Vada pav,Snacks,1,30
50151,Masala dosa,Breakfast,3,90
50152,Masala dosa,Breakfast,2,90
50152,Orange juice,Juice,1,70
50153,Vada pav,Snacks,1,30
50153,Filter coffee,Chai & coffee,3,40
50153,Masala dosa,Breakfast,1,90
50154,Vada pav,Snacks,1,30
50154,Jalebi,Sweets,2,40
50155,Idli,Breakfast,1,50
50155,Filter coffee,Chai & coffee,1,40
50156,Masala dosa,Breakfast,1,90
50156,Orange juice,Juice,1,70
50157,Pesarattu,Breakfast,1,80
50157,Jalebi,Sweets,1,40
50158,Masala dosa,Breakfast,1,90
50158,Filter coffee,Chai & coffee,1,40
50159,Sandwich,Snacks,1,70
50159,Pesarattu,Breakfast,1,80
50159,Poha,Breakfast,1,60
50159,Jalebi,Sweets,1,40
50160,Masala chai,Chai & coffee,1,30
50160,Jalebi,Sweets,1,40
50161,Idli,Breakfast,1,50
50162,Misal pav,Breakfast,1,90
50162,Jalebi,Sweets,1,40
50162,Pesarattu,Breakfast,1,80
50163,Orange juice,Juice,1,70
50164,Poha,Breakfast,2,60
50165,Misal pav,Breakfast,1,90
50165,Poha,Breakfast,2,60
50166,Idli,Breakfast,1,50
50166,Cold coffee,Chai & coffee,1,90
50166,Filter coffee,Chai & coffee,1,40
50167,Misal pav,Breakfast,2,90
50167,Cold coffee,Chai & coffee,1,90
50168,Idli,Breakfast,2,50
50168,Pesarattu,Breakfast,1,80
50168,Poha,Breakfast,3,60
50169,Masala dosa,Breakfast,1,90
50169,Idli,Breakfast,1,50
50169,Filter coffee,Chai & coffee,1,40
50170,Upma,Breakfast,1,60
50170,Pesarattu,Breakfast,1,80
50171,Upma,Breakfast,2,60
50172,Vada pav,Snacks,3,30
50172,Cold coffee,Chai & coffee,1,90
50173,Misal pav,Breakfast,1,90
50174,Cold coffee,Chai & coffee,3,90
50175,Jalebi,Sweets,1,40
50175,Idli,Breakfast,2,50
50176,Vada pav,Snacks,2,30
50177,Cold coffee,Chai & coffee,1,90
50178,Cold coffee,Chai & coffee,3,90
50178,Sandwich,Snacks,2,70
50179,Poha,Breakfast,1,60
50180,Cold coffee,Chai & coffee,1,90
50181,Orange juice,Juice,3,70
50182,Misal pav,Breakfast,3,90
50182,Cold coffee,Chai & coffee,1,90
50183,Masala chai,Chai & coffee,1,30
50184,Misal pav,Breakfast,1,90
50184,Masala chai,Chai & coffee,1,30
50184,Orange juice,Juice,1,70
50185,Misal pav,Breakfast,1,90
50185,Filter coffee,Chai & coffee,2,40
50185,Poha,Breakfast,1,60
50185,Upma,Breakfast,1,60
50186,Filter coffee,Chai & coffee,1,40
50186,Misal pav,Breakfast,1,90
50186,Orange juice,Juice,1,70
50187,Misal pav,Breakfast,2,90
50187,Jalebi,Sweets,1,40
50187,Filter coffee,Chai & coffee,1,40
50188,Masala dosa,Breakfast,1,90
50188,Upma,Breakfast,1,60
50189,Masala dosa,Breakfast,1,90
50189,Jalebi,Sweets,1,40
50190,Vada pav,Snacks,1,30
50190,Filter coffee,Chai & coffee,1,40
50191,Sandwich,Snacks,1,70
50192,Masala dosa,Breakfast,3,90
50193,Cold coffee,Chai & coffee,1,90
50193,Masala dosa,Breakfast,3,90
50193,Misal pav,Breakfast,2,90
50194,Cold coffee,Chai & coffee,1,90
50194,Masala chai,Chai & coffee,2,30
50195,Masala dosa,Breakfast,1,90
50195,Jalebi,Sweets,2,40
50196,Masala dosa,Breakfast,1,90
50196,Filter coffee,Chai & coffee,2,40
50197,Jalebi,Sweets,1,40
50197,Masala chai,Chai & coffee,2,30
50197,Filter coffee,Chai & coffee,1,40
50198,Masala dosa,Breakfast,2,90
50198,Pesarattu,Breakfast,1,80
50199,Vada pav,Snacks,1,30
50200,Upma,Breakfast,1,60
50201,Vada pav,Snacks,2,30
50201,Misal pav,Breakfast,1,90
50202,Idli,Breakfast,1,50
50203,Masala chai,Chai & coffee,1,30
50204,Filter coffee,Chai & coffee,1,40
50204,Poha,Breakfast,1,60
50205,Idli,Breakfast,1,50
50206,Cold coffee,Chai & coffee,2,90
50206,Misal pav,Breakfast,1,90
50207,Misal pav,Breakfast,2,90
50208,Orange juice,Juice,3,70
50209,Poha,Breakfast,1,60
50210,Sandwich,Snacks,3,70
50211,Orange juice,Juice,1,70
50211,Cold coffee,Chai & coffee,3,90
50211,Filter coffee,Chai & coffee,2,40
50212,Masala dosa,Breakfast,3,90
50213,Cold coffee,Chai & coffee,2,90
50214,Vada pav,Snacks,3,30
50215,Misal pav,Breakfast,2,90
50215,Filter coffee,Chai & coffee,3,40
50215,Idli,Breakfast,2,50
50216,Cold coffee,Chai & coffee,1,90
50217,Cold coffee,Chai & coffee,2,90
50218,Poha,Breakfast,2,60
50219,Upma,Breakfast,1,60
50220,Sandwich,Snacks,1,70
50220,Masala chai,Chai & coffee,1,30
50220,Poha,Breakfast,1,60
50220,Misal pav,Breakfast,1,90
50221,Cold coffee,Chai & coffee,1,90
50221,Poha,Breakfast,1,60
50221,Jalebi,Sweets,1,40
50222,Masala chai,Chai & coffee,1,30
50222,Poha,Breakfast,1,60
50222,Masala dosa,Breakfast,1,90
50223,Poha,Breakfast,1,60
50223,Misal pav,Breakfast,2,90
50223,Masala chai,Chai & coffee,1,30
50223,Filter coffee,Chai & coffee,1,40
50224,Misal pav,Breakfast,1,90
50224,Poha,Breakfast,1,60
50224,Filter coffee,Chai & coffee,1,40
50224,Sandwich,Snacks,1,70
50224,Upma,Breakfast,1,60
50225,Vada pav,Snacks,1,30
50225,Masala chai,Chai & coffee,1,30
50225,Orange juice,Juice,2,70
50225,Masala dosa,Breakfast,1,90
50226,Cold coffee,Chai & coffee,1,90
50226,Poha,Breakfast,1,60
50226,Pesarattu,Breakfast,1,80
50227,Filter coffee,Chai & coffee,3,40
50228,Misal pav,Breakfast,1,90
50228,Masala dosa,Breakfast,1,90
50229,Filter coffee,Chai & coffee,1,40
50229,Masala dosa,Breakfast,1,90
50229,Cold coffee,Chai & coffee,1,90
50229,Pesarattu,Breakfast,1,80
50230,Filter coffee,Chai & coffee,2,40
50230,Orange juice,Juice,1,70
50231,Masala dosa,Breakfast,3,90
50231,Poha,Breakfast,1,60
50232,Cold coffee,Chai & coffee,1,90
50232,Masala dosa,Breakfast,1,90
50233,Idli,Breakfast,1,50
50234,Upma,Breakfast,2,60
50234,Cold coffee,Chai & coffee,1,90
50235,Poha,Breakfast,2,60
50235,Idli,Breakfast,2,50
50236,Idli,Breakfast,1,50
50236,Masala chai,Chai & coffee,2,30
50236,Filter coffee,Chai & coffee,3,40
50237,Filter coffee,Chai & coffee,2,40
50238,Filter coffee,Chai & coffee,1,40
50238,Misal pav,Breakfast,1,90
50239,Idli,Breakfast,2,50
50239,Upma,Breakfast,2,60
50239,Pesarattu,Breakfast,2,80
50240,Cold coffee,Chai & coffee,1,90
50241,Vada pav,Snacks,1,30
50242,Masala chai,Chai & coffee,1,30
50243,Misal pav,Breakfast,2,90
50244,Cold coffee,Chai & coffee,2,90
50245,Cold coffee,Chai & coffee,2,90
50246,Sandwich,Snacks,3,70
50247,Cold coffee,Chai & coffee,2,90
50248,Masala chai,Chai & coffee,1,30
50248,Orange juice,Juice,2,70
50248,Poha,Breakfast,2,60
50249,Pesarattu,Breakfast,1,80
50250,Cold coffee,Chai & coffee,2,90
50251,Orange juice,Juice,1,70
50252,Cold coffee,Chai & coffee,1,90
50253,Poha,Breakfast,1,60
50253,Orange juice,Juice,2,70
50253,Vada pav,Snacks,2,30
50254,Misal pav,Breakfast,1,90
50254,Orange juice,Juice,1,70
50254,Sandwich,Snacks,1,70
50254,Vada pav,Snacks,1,30
50255,Misal pav,Breakfast,1,90
50255,Poha,Breakfast,1,60
50255,Idli,Breakfast,1,50
50256,Masala chai,Chai & coffee,1,30
50256,Sandwich,Snacks,1,70
50256,Vada pav,Snacks,1,30
50257,Poha,Breakfast,1,60
50257,Masala dosa,Breakfast,1,90
50257,Misal pav,Breakfast,1,90
50257,Idli,Breakfast,1,50
50258,Misal pav,Breakfast,1,90
50258,Sandwich,Snacks,1,70
50258,Cold coffee,Chai & coffee,1,90
50259,Filter coffee,Chai & coffee,1,40
50259,Jalebi,Sweets,1,40
50259,Masala chai,Chai & coffee,1,30
50260,Misal pav,Breakfast,3,90
50260,Filter coffee,Chai & coffee,2,40
50260,Masala dosa,Breakfast,2,90
50260,Masala chai,Chai & coffee,1,30
50261,Filter coffee,Chai & coffee,1,40
50261,Idli,Breakfast,1,50
50261,Masala dosa,Breakfast,2,90
50261,Sandwich,Snacks,2,70
50262,Masala dosa,Breakfast,2,90
50263,Cold coffee,Chai & coffee,1,90
50263,Masala dosa,Breakfast,2,90
50264,Filter coffee,Chai & coffee,2,40
50265,Pesarattu,Breakfast,1,80
50266,Pesarattu,Breakfast,1,80
50266,Poha,Breakfast,1,60
50266,Idli,Breakfast,2,50
50267,Pesarattu,Breakfast,1,80
50268,Pesarattu,Breakfast,3,80
50268,Upma,Breakfast,1,60
50269,Vada pav,Snacks,2,30
50269,Pesarattu,Breakfast,1,80
50270,Filter coffee,Chai & coffee,2,40
50271,Cold coffee,Chai & coffee,2,90
50272,Filter coffee,Chai & coffee,1,40
50272,Masala dosa,Breakfast,1,90
50273,Idli,Breakfast,3,50
50273,Filter coffee,Chai & coffee,2,40
50274,Poha,Breakfast,2,60
50274,Cold coffee,Chai & coffee,2,90
50275,Vada pav,Snacks,2,30
50275,Cold coffee,Chai & coffee,2,90
50275,Misal pav,Breakfast,2,90
50276,Idli,Breakfast,3,50
50277,Poha,Breakfast,2,60
50278,Poha,Breakfast,1,60
50279,Filter coffee,Chai & coffee,1,40
50279,Masala chai,Chai & coffee,2,30
50280,Masala chai,Chai & coffee,3,30
50281,Cold coffee,Chai & coffee,2,90
50282,Cold coffee,Chai & coffee,1,90
50283,Cold coffee,Chai & coffee,1,90
50284,Pesarattu,Breakfast,1,80
50284,Vada pav,Snacks,1,30
50285,Misal pav,Breakfast,3,90
50286,Misal pav,Breakfast,1,90
50286,Filter coffee,Chai & coffee,1,40
50286,Poha,Breakfast,1,60
50287,Misal pav,Breakfast,1,90
50287,Poha,Breakfast,1,60
50287,Vada pav,Snacks,1,30
50288,Misal pav,Breakfast,1,90
50288,Pesarattu,Breakfast,1,80
50288,Poha,Breakfast,1,60
50288,Masala chai,Chai & coffee,1,30
50288,Sandwich,Snacks,1,70
50289,Jalebi,Sweets,1,40
50289,Poha,Breakfast,1,60
50289,Masala chai,Chai & coffee,1,30
50289,Masala dosa,Breakfast,1,90
50290,Masala dosa,Breakfast,1,90
50290,Misal pav,Breakfast,1,90
50290,Cold coffee,Chai & coffee,1,90
50290,Vada pav,Snacks,1,30
50290,Poha,Breakfast,1,60
50291,Poha,Breakfast,1,60
50291,Masala chai,Chai & coffee,1,30
50291,Orange juice,Juice,1,70
50292,Masala dosa,Breakfast,1,90
50292,Poha,Breakfast,1,60
50292,Misal pav,Breakfast,1,90
50292,Upma,Breakfast,1,60
50292,Pesarattu,Breakfast,1,80
50293,Masala dosa,Breakfast,3,90
50293,Masala chai,Chai & coffee,2,30
50294,Idli,Breakfast,2,50
50294,Masala chai,Chai & coffee,2,30
50294,Masala dosa,Breakfast,1,90
50295,Cold coffee,Chai & coffee,2,90
50296,Masala dosa,Breakfast,1,90
50296,Idli,Breakfast,1,50
50297,Upma,Breakfast,3,60
50297,Masala dosa,Breakfast,1,90
50298,Masala dosa,Breakfast,2,90
50298,Pesarattu,Breakfast,1,80
50299,Jalebi,Sweets,2,40
50299,Cold coffee,Chai & coffee,1,90
50300,Vada pav,Snacks,2,30
50300,Masala dosa,Breakfast,1,90
50301,Sandwich,Snacks,2,70
50302,Upma,Breakfast,1,60
50303,Upma,Breakfast,1,60
50304,Masala chai,Chai & coffee,1,30
50305,Pesarattu,Breakfast,2,80
50306,Misal pav,Breakfast,1,90
50307,Misal pav,Breakfast,2,90
50307,Sandwich,Snacks,1,70
50308,Poha,Breakfast,2,60
50309,Cold coffee,Chai & coffee,1,90
50310,Idli,Breakfast,1,50
50311,Misal pav,Breakfast,1,90
50311,Sandwich,Snacks,1,70
50312,Idli,Breakfast,1,50
50312,Upma,Breakfast,1,60
50313,Pesarattu,Breakfast,1,80
50314,Sandwich,Snacks,1,70
50314,Jalebi,Sweets,2,40
50315,Vada pav,Snacks,2,30
50316,Vada pav,Snacks,1,30
50317,Vada pav,Snacks,2,30
50318,Sandwich,Snacks,1,70
50319,Vada pav,Snacks,3,30
50319,Upma,Breakfast,3,60
50320,Misal pav,Breakfast,3,90
50321,Poha,Breakfast,1,60
50322,Cold coffee,Chai & coffee,1,90
50323,Masala chai,Chai & coffee,2,30
50324,Poha,Breakfast,1,60
50324,Jalebi,Sweets,1,40
50325,Cold coffee,Chai & coffee,1,90
50325,Orange juice,Juice,1,70
50326,Masala dosa,Breakfast,2,90
50327,Upma,Breakfast,3,60
50328,Misal pav,Breakfast,1,90
50328,Vada pav,Snacks,2,30
50328,Orange juice,Juice,2,70
50329,Cold coffee,Chai & coffee,2,90
50330,Sandwich,Snacks,1,70
50331,Masala dosa,Breakfast,1,90
50331,Misal pav,Breakfast,1,90
50331,Upma,Breakfast,1,60
50332,Vada pav,Snacks,1,30
50332,Poha,Breakfast,1,60
50332,Misal pav,Breakfast,1,90
50332,Jalebi,Sweets,1,40
50333,Upma,Breakfast,1,60
50333,Misal pav,Breakfast,1,90
50333,Poha,Breakfast,1,60
50334,Jalebi,Sweets,1,40
50334,Misal pav,Breakfast,1,90
50334,Poha,Breakfast,1,60
50334,Vada pav,Snacks,1,30
50335,Jalebi,Sweets,1,40
50335,Misal pav,Breakfast,1,90
50335,Masala chai,Chai & coffee,1,30
50335,Vada pav,Snacks,1,30
50336,Masala chai,Chai & coffee,1,30
50336,Misal pav,Breakfast,1,90
50336,Upma,Breakfast,1,60
50336,Poha,Breakfast,2,60
50336,Masala dosa,Breakfast,1,90
50337,Filter coffee,Chai & coffee,1,40
50337,Masala dosa,Breakfast,1,90
50338,Misal pav,Breakfast,1,90
50338,Idli,Breakfast,3,50
50339,Cold coffee,Chai & coffee,2,90
50339,Idli,Breakfast,3,50
50340,Idli,Breakfast,1,50
50341,Masala dosa,Breakfast,1,90
50341,Poha,Breakfast,1,60
50342,Masala dosa,Breakfast,2,90
50343,Upma,Breakfast,1,60
50343,Masala dosa,Breakfast,3,90
50344,Masala chai,Chai & coffee,2,30
50344,Pesarattu,Breakfast,1,80
50345,Upma,Breakfast,1,60
50346,Masala chai,Chai & coffee,1,30
50346,Orange juice,Juice,1,70
50347,Upma,Breakfast,1,60
50347,Orange juice,Juice,1,70
50348,Jalebi,Sweets,1,40
50348,Pesarattu,Breakfast,1,80
50349,Vada pav,Snacks,2,30
50350,Idli,Breakfast,1,50
50351,Misal pav,Breakfast,2,90
50351,Pesarattu,Breakfast,1,80
50352,Vada pav,Snacks,1,30
50353,Cold coffee,Chai & coffee,1,90
50353,Sandwich,Snacks,3,70
50354,Idli,Breakfast,1,50
50354,Upma,Breakfast,3,60
50355,Idli,Breakfast,1,50
50355,Upma,Breakfast,1,60
50356,Cold coffee,Chai & coffee,2,90
50357,Cold coffee,Chai & coffee,1,90
50358,Vada pav,Snacks,3,30
50358,Idli,Breakfast,3,50
50359,Masala dosa,Breakfast,3,90
50360,Vada pav,Snacks,3,30
50361,Idli,Breakfast,3,50
50362,Jalebi,Sweets,1,40
50363,Cold coffee,Chai & coffee,3,90
50363,Vada pav,Snacks,1,30
50363,Masala dosa,Breakfast,1,90
50364,Vada pav,Snacks,2,30
50365,Jalebi,Sweets,2,40
50365,Misal pav,Breakfast,2,90
50366,Masala chai,Chai & coffee,1,30
50366,Poha,Breakfast,1,60
50366,Orange juice,Juice,1,70
50366,Misal pav,Breakfast,1,90
50366,Pesarattu,Breakfast,1,80
50367,Misal pav,Breakfast,1,90
50367,Masala chai,Chai & coffee,1,30
50367,Idli,Breakfast,1,50
50368,Sandwich,Snacks,1,70
50368,Masala chai,Chai & coffee,1,30
50368,Poha,Breakfast,1,60
50369,Vada pav,Snacks,1,30
50369,Misal pav,Breakfast,1,90
50369,Sandwich,Snacks,1,70
50369,Masala chai,Chai & coffee,1,30
50369,Idli,Breakfast,1,50
50370,Masala dosa,Breakfast,1,90
